candidate_id,source_generator,parent_mol_id,canonical_smiles,inchikey,valid_rdkit,unique_flag,novel_flag,mw,logp,tpsa,hbd,hba,rotatable_bonds,qed,sa_score,murcko_scaffold,max_ring_size,has_macrocycle_12_20,has_constrained_ring_8_11,passes_basic_filters,generation_notes,best_score,qed_admet,sa_score_admet,mw_admet,logp_admet,tpsa_admet,hbd_admet,hba_admet,rotatable_bonds_admet,lipinski_violations,veber_pass,admet_score,synthesis_score,safety_proxy_score,main_risk,pose_score,pose_decision,contacts_within_4A,hard_clashes_lt_1_8A,smiles,docking_score,diversity_cluster,docking_score_scaled,novelty_score,final_weighted_score,rank,decision,diverse_rank,selection_tier
CAND_5152217faa,v5_3_model_guided_macrocycle,JAK2_2dc2722230,Fc1cc2cc(F)c1CN1CCOCC1CCCC1(CCNCC1)n1cc(cn1)-c1cnc3cccc-2c3n1,NCEUIZMIJXOARZ-UHFFFAOYSA-N,True,True,True,530.623,4.9019,68.1,1,6,0,0.3489,4.653,c1cc2c3nc(cnc3c1)-c1cnn(c1)C1(CCCC3COCCN3Cc3ccc-2cc3)CCNCC1,18,True,False,True,"v5_3_model_guided_anchor_pair=16-31;anchor_scores=0.691,0.079;linker_length=3;target_ring=17;linker_prob=0.539;chemotype=alkyl",-11.4,0.3489,4.653,530.623,4.9019,68.1,1,6,0,1,True,0.608005,0.594111,1.0,1_lipinski_violations,1.0,pass,822.0,0.0,Fc1cc2cc(F)c1CN1CCOCC1CCCC1(CCNCC1)n1cc(cn1)-c1cnc3cccc-2c3n1,-11.4,scaffold_010ac451,1.0,1.0,0.860718,1,primary_candidate,1,final_candidate
CAND_396f994be3,v5_3_model_guided_macrocycle,JAK2_52b2cf11d9,CN1CCN2c3ccc(cn3)-c3cnc4cccc(c4n3)-c3cc(F)c(c(F)c3)CN3CCS(=O)(=O)CC3CCCC2C1,XRKOBNMXKVAZDZ-UHFFFAOYSA-N,True,True,True,604.727,4.5403,82.53,0,8,0,0.2896,5.315,O=S1(=O)CCN2Cc3ccc(cc3)-c3cccc4ncc(nc34)-c3ccc(nc3)N3CCNCC3CCCC2C1,20,True,False,True,"v5_3_model_guided_anchor_pair=3-24;anchor_scores=0.079,0.079;linker_length=3;target_ring=19;linker_prob=0.650;chemotype=alkyl",-11.4,0.2896,5.315,604.727,4.5403,82.53,0,8,0,1,True,0.58132,0.520556,1.0,1_lipinski_violations,1.0,pass,936.0,0.0,CN1CCN2c3ccc(cn3)-c3cnc4cccc(c4n3)-c3cc(F)c(c(F)c3)CN3CCS(=O)(=O)CC3CCCC2C1,-11.4,scaffold_1462f72c,1.0,1.0,0.844347,2,primary_candidate,2,final_candidate
CAND_598172bd63,v5_3_model_guided_macrocycle,JAK2_2dc2722230,Fc1cc2cc(F)c1CN1CCOCC1CCCC1CNCCC1n1cc(cn1)-c1cnc3cccc-2c3n1,UCSDEFGUMXHZAX-UHFFFAOYSA-N,True,True,True,530.623,4.9738,68.1,1,6,0,0.3462,5.153,c1cc2c3nc(cnc3c1)-c1cnn(c1)C1CCNCC1CCCC1COCCN1Cc1ccc-2cc1,19,True,False,True,"v5_3_model_guided_anchor_pair=17-31;anchor_scores=0.079,0.079;linker_length=3;target_ring=18;linker_prob=0.496;chemotype=alkyl",-11.3,0.3462,5.153,530.623,4.9738,68.1,1,6,0,1,True,0.60679,0.538556,1.0,1_lipinski_violations,1.0,pass,790.0,0.0,Fc1cc2cc(F)c1CN1CCOCC1CCCC1CNCCC1n1cc(cn1)-c1cnc3cccc-2c3n1,-11.3,scaffold_fe48e3f8,0.9767441860465117,1.0,0.844002,3,primary_candidate,3,final_candidate
CAND_9c6324c16c,v5_3_model_guided_macrocycle,JAK2_4424830aa8,CN1CCN2c3ccc(cc3)-c3cnc4cccc(c4n3)-c3cc(F)c(c(F)c3)CN3CCOCC3COCC2C1,VAUZQGRYZWDNKQ-UHFFFAOYSA-N,True,True,True,557.645,4.5934,53.96,0,7,0,0.3135,5.054,c1cc2c3nc(cnc3c1)-c1ccc(cc1)N1CCNCC1COCC1COCCN1Cc1ccc-2cc1,20,True,False,True,"v5_3_model_guided_anchor_pair=3-24;anchor_scores=0.079,0.079;linker_length=3;target_ring=19;linker_prob=0.610;chemotype=oxa",-11.3,0.3135,5.054,557.645,4.5934,53.96,0,7,0,1,True,0.592075,0.549556,1.0,1_lipinski_violations,1.0,pass,780.0,0.0,CN1CCN2c3ccc(cc3)-c3cnc4cccc(c4n3)-c3cc(F)c(c(F)c3)CN3CCOCC3COCC2C1,-11.3,scaffold_faaf31e4,0.9767441860465117,1.0,0.842709,4,primary_candidate,4,final_candidate
CAND_3c64f44e76,v5_3_model_guided_macrocycle,JAK2_52b2cf11d9,CN1CCN2c3ccc(cn3)-c3cnc4cccc(c4n3)-c3cc(F)c(c(F)c3)CN3CCS(=O)(=O)CC3COCC2C1,YWSGJALAUQEGQN-UHFFFAOYSA-N,True,True,True,606.699,3.3866,91.76,0,9,0,0.2989,5.326,O=S1(=O)CCN2Cc3ccc(cc3)-c3cccc4ncc(nc34)-c3ccc(nc3)N3CCNCC3COCC2C1,20,True,False,True,"v5_3_model_guided_anchor_pair=3-24;anchor_scores=0.079,0.079;linker_length=3;target_ring=19;linker_prob=0.650;chemotype=oxa",-11.3,0.2989,5.326,606.699,3.3866,91.76,0,9,0,1,True,0.585505,0.519333,1.0,1_lipinski_violations,1.0,pass,869.0,0.0,CN1CCN2c3ccc(cn3)-c3cnc4cccc(c4n3)-c3cc(F)c(c(F)c3)CN3CCS(=O)(=O)CC3COCC2C1,-11.3,scaffold_0004bfea,0.9767441860465117,1.0,0.836861,5,primary_candidate,5,final_candidate
CAND_1675c88065,v5_3_model_guided_macrocycle,JAK2_2dc2722230,Fc1cc2cc(F)c1CN1CCOC(CNCC3(CCNCC3)n3cc(cn3)-c3cnc4cccc-2c4n3)C1,SOTCITIOJRKMGI-UHFFFAOYSA-N,True,True,True,531.611,3.3212,80.13,2,7,0,0.3605,4.909,c1cc2c3nc(cnc3c1)-c1cnn(c1)C1(CCNCC1)CNCC1CN(CCO1)Cc1ccc-2cc1,19,True,False,True,"v5_3_model_guided_anchor_pair=16-32;anchor_scores=0.691,0.079;linker_length=3;target_ring=18;linker_prob=0.496;chemotype=aza",-11.0,0.3605,4.909,531.611,3.3212,80.13,2,7,0,1,True,0.613225,0.565667,1.0,1_lipinski_violations,1.0,pass,894.0,0.0,Fc1cc2cc(F)c1CN1CCOC(CNCC3(CCNCC3)n3cc(cn3)-c3cnc4cccc-2c4n3)C1,-11.0,scaffold_34dcedf5,0.9069767441860465,1.0,0.824937,6,primary_candidate,6,backup_candidate
CAND_f134535edd,v5_3_model_guided_macrocycle,JAK2_52b2cf11d9,CN1CCN2c3ccc(cn3)-c3cnc4cccc(c4n3)-c3cc(F)c(c(F)c3)CN3CCS(=O)(=O)CC3CNCC2C1,YGRQCALJJPLZDA-UHFFFAOYSA-N,True,True,True,605.715,2.9596,94.56,1,9,0,0.3248,5.321,O=S1(=O)CCN2Cc3ccc(cc3)-c3cccc4ncc(nc34)-c3ccc(nc3)N3CCNCC3CNCC2C1,20,True,False,True,"v5_3_model_guided_anchor_pair=3-24;anchor_scores=0.079,0.079;linker_length=3;target_ring=19;linker_prob=0.650;chemotype=aza",-11.0,0.3248,5.321,605.715,2.9596,94.56,1,9,0,1,True,0.59716,0.519889,1.0,1_lipinski_violations,1.0,pass,925.0,0.0,CN1CCN2c3ccc(cn3)-c3cnc4cccc(c4n3)-c3cc(F)c(c(F)c3)CN3CCS(=O)(=O)CC3CNCC2C1,-11.0,scaffold_4cf4190c,0.9069767441860465,1.0,0.814857,7,primary_candidate,7,backup_candidate
CAND_d3037c6bbb,v5_3_model_guided_macrocycle,JAK2_2dc2722230,Fc1cc2cc(F)c1CN1CCOCC1CNCC1CNCCC1n1cc(cn1)-c1cnc3cccc-2c3n1,LPYRODOGMAJHRM-UHFFFAOYSA-N,True,True,True,531.611,3.3931,80.13,2,7,0,0.3602,5.159,c1cc2c3nc(cnc3c1)-c1cnn(c1)C1CCNCC1CNCC1COCCN1Cc1ccc-2cc1,19,True,False,True,"v5_3_model_guided_anchor_pair=17-31;anchor_scores=0.079,0.079;linker_length=3;target_ring=18;linker_prob=0.496;chemotype=aza",-10.9,0.3602,5.159,531.611,3.3931,80.13,2,7,0,1,True,0.61309,0.537889,1.0,1_lipinski_violations,1.0,pass,823.0,0.0,Fc1cc2cc(F)c1CN1CCOCC1CNCC1CNCCC1n1cc(cn1)-c1cnc3cccc-2c3n1,-10.9,scaffold_330d94ac,0.8837209302325582,1.0,0.812604,8,primary_candidate,8,backup_candidate
CAND_9b2dbc98ed,v5_3_model_guided_macrocycle,JAK2_52b2cf11d9,CN1CCN2c3ccc(cn3)-c3cnc4cccc(c4n3)-c3cc(F)c(c(F)c3)CN3CCS(=O)(=O)CC3CSCC2C1,PIFHNMNPLJJTMY-UHFFFAOYSA-N,True,True,True,622.767,4.1032,82.53,0,9,0,0.288,5.415,O=S1(=O)CCN2Cc3ccc(cc3)-c3cccc4ncc(nc34)-c3ccc(nc3)N3CCNCC3CSCC2C1,20,True,False,True,"v5_3_model_guided_anchor_pair=3-24;anchor_scores=0.079,0.079;linker_length=3;target_ring=19;linker_prob=0.650;chemotype=thioether",-11.0,0.288,5.415,622.767,4.1032,82.53,0,9,0,1,True,0.5806,0.509444,1.0,1_lipinski_violations,1.0,pass,955.0,0.0,CN1CCN2c3ccc(cn3)-c3cnc4cccc(c4n3)-c3cc(F)c(c(F)c3)CN3CCS(=O)(=O)CC3CSCC2C1,-11.0,scaffold_092fe9ad,0.9069767441860465,1.0,0.809978,9,primary_candidate,9,backup_candidate
CAND_dbfbb7d1cf,v5_3_model_guided_macrocycle,JAK2_4424830aa8,CN1CCN2c3ccc(cc3)-c3cnc4cccc(c4n3)-c3cc(F)c(c(F)c3)CN3CCOCC3CSCC2C1,ZQXFNYDUOWZAAC-UHFFFAOYSA-N,True,True,True,573.713,5.31,44.73,0,7,0,0.2826,5.298,c1cc2c3nc(cnc3c1)-c1ccc(cc1)N1CCNCC1CSCC1COCCN1Cc1ccc-2cc1,20,True,False,True,"v5_3_model_guided_anchor_pair=3-24;anchor_scores=0.079,0.079;linker_length=3;target_ring=19;linker_prob=0.610;chemotype=thioether",-11.2,0.2826,5.298,573.713,5.31,44.73,0,7,0,2,True,0.47917,0.522444,1.0,2_lipinski_violations,1.0,pass,816.0,0.0,CN1CCN2c3ccc(cc3)-c3cnc4cccc(c4n3)-c3cc(F)c(c(F)c3)CN3CCOCC3CSCC2C1,-11.2,scaffold_f9ddfb76,0.9534883720930231,1.0,0.807922,10,primary_candidate,10,backup_candidate
